iter	TotalF1	MultiClass
548	0.9849837744	0.4136927097
549	0.9879866539	0.4127289658
550	0.9849837744	0.4122155128
551	0.9849837744	0.411612524
552	0.9879866539	0.4108982215
553	0.9879866539	0.4107465381
554	0.9879866539	0.4103297481
555	0.9879866539	0.4100588304
556	0.9879866539	0.4096604619
557	0.9879866539	0.408883784
558	0.9879866539	0.4084549574
559	0.9879866539	0.4076764194
560	0.9879866539	0.4073980671
561	0.990990627	0.4069450889
562	0.990990627	0.4064214251
563	0.990990627	0.4059566429
564	0.990990627	0.405372053
565	0.990990627	0.4048161237
566	0.990990627	0.4040536321
567	0.990990627	0.403703837
568	0.990990627	0.4028942891
569	0.990990627	0.4021823843
570	0.990990627	0.4018333152
571	0.990990627	0.4012321027
572	0.990990627	0.4008008769
573	0.990990627	0.4002816503
574	0.990990627	0.3998053946
575	0.990990627	0.3991671405
576	0.990990627	0.3985764347
577	0.990990627	0.3977638538
578	0.990990627	0.3971500921
579	0.990990627	0.3965475973
580	0.990990627	0.395982192
581	0.990990627	0.3955605857
582	0.990990627	0.3949982623
583	0.990990627	0.3946569218
584	0.990990627	0.394005275
585	0.990990627	0.3934650339
586	0.990990627	0.3927784037
587	0.990990627	0.3922683961
588	0.990990627	0.3918056912
589	0.990990627	0.3912303002
590	0.990990627	0.3906257018
591	0.990990627	0.3901363903
592	0.990990627	0.3895927425
593	0.990990627	0.3888557815
594	0.990990627	0.3884367819
595	0.990990627	0.3879765961
596	0.990990627	0.3873749459
597	0.990990627	0.3868880728
598	0.990990627	0.3864830201
599	0.990990627	0.3859698416
